rank,movie,release_date,distributor,genre,gross,tickets_sold
323,Believer,6/8/2018,Well Go USA,Thriller/Suspense,365639,40136
324,Mountain,5/11/2018,Greenwich,Documentary,364429,40003
325,Jane and Emma,10/12/2018,Excel Entertainment,Drama,362612,39803
326,Kusama: Infinity,9/7/2018,Magnolia Pictures,Documentary,360931,39619
327,The Rocky Horror Picture Show,9/26/1975,20th Century Fox,Musical,360000,39517
328,The Wizard of Oz,9/23/2009,Warner Bros.,Musical,351839,38621
329,"Faces, Places",10/6/2017,Cohen Media Group,Documentary,347796,38177
330,Under the Sea 3D,2/13/2009,Warner Bros.,Documentary,333495,36608
331,Shine,10/5/2018,GVN Releasing,Drama,333388,36595
332,Flower,3/16/2018,The Orchard,Drama,328188,36025
333,Youth,12/15/2017,China Lion Film D…,Drama,312241,34274
334,In The Fade,12/27/2017,Magnolia Pictures,Drama,310556,34089
335,Damsel,6/22/2018,Magnolia Pictures,Western,305136,33494
336,Harry Potter and the Sorcer…,11/16/2001,Warner Bros.,Adventure,295917,32483
337,Golden Job,9/28/2018,Well Go USA,Action,285795,31371
338,But Deliver Us From Evil,2/9/2018,Indican Pictures,Horror,285169,31302
339,The Square,10/27/2017,Magnolia Pictures,Drama,278921,30617
340,Science Fair,9/14/2018,National Geograph…,Documentary,278350,30554
341,Kings,4/27/2018,The Orchard,Drama,274320,30111
342,Cold War,12/21/2018,Amazon Studios,Drama,272118,29870
343,The Endless,4/6/2018,Well Go USA,Thriller/Suspense,272020,29859
344,Detective Dee: The Four Hea…,7/27/2018,Well Go USA,Action,262963,28865
345,The King,6/22/2018,Oscilloscope Pict…,Documentary,259291,28462
346,What They Had,10/19/2018,Bleecker Street,Drama,257869,28306
347,Back to Burgundy,3/23/2018,Music Box Films,Drama,257610,28277
348,London Fields,10/26/2018,GVN Releasing,Thriller/Suspense,252676,27736
349,Destroyer,12/25/2018,Annapurna Pictures,Thriller/Suspense,248081,27231
350,Harry Potter and the Chambe…,11/15/2002,Warner Bros.,Adventure,245501,26949
351,Generation Wealth,7/20/2018,Amazon Studios,Documentary,237709,26093
352,The House That Jack Built,12/14/2018,IFC Films,Thriller/Suspense,236987,26014
353,Skate Kitchen,8/10/2018,Magnolia Pictures,Drama,236799,25993
354,Meditation Park,3/9/2018,Mongrel Media,Drama,235849,25889
355,Stan & Ollie,12/28/2018,Sony Pictures Cla…,Drama,234342,25723
356,Borg vs McEnroe,4/13/2018,Neon,Drama,231346,25394
357,Matangi/Maya/M.I.A.,9/28/2018,Abramorama Films,Documentary,230808,25335
358,Happy End,12/22/2017,Sony Pictures Cla…,Drama,230054,25252
359,MFKZ,10/11/2018,GKIDS,Adventure,229423,25183
360,Island of Lemurs: Madagascar,4/4/2014,Warner Bros.,Documentary,224252,24616
361,Jane,10/20/2017,Abramorama Films,Documentary,220790,24236
362,Harry Potter and the Prison…,6/4/2004,Warner Bros.,Adventure,218774,24015
363,A Bad Moms Christmas,11/1/2017,STX Entertainment,Comedy,218671,24003
364,Dark Money,7/13/2018,PBS Distribution,Documentary,217932,23922
365,Getting Grace,3/23/2018,Hannover House,Comedy,217812,23909
366,Agent Mr. Chan,2/23/2018,China Lion Film D…,Comedy,208351,22870
367,The Guilty,10/19/2018,Magnolia Pictures,Thriller/Suspense,207140,22737
368,Keep The Change,3/16/2018,Kino Lorber,Romantic Comedy,202788,22259
369,Gemini,3/30/2018,Neon,Thriller/Suspense,200340,21991
370,Zama,4/13/2018,Strand,Action,200181,21973
371,Gauguin: Voyage to Tahiti,7/13/2018,Cohen Media Group,Drama,200140,21969
372,Little Pink House,4/20/2018,Dada Films,Drama,199069,21851
373,Swing Kids,12/21/2018,Well Go USA,Drama,195757,21488
374,The Final Year,1/19/2018,Magnolia Pictures,Documentary,191900,21064
375,Studio 54,10/5/2018,Zeitgeist,Documentary,190412,20901
