rank,movie,release_date,distribution,genre,gross,tickets_sold
256,Columbus,8/4/2017,Superlative Films,Drama,1017107,113389
257,Golmaal Again,10/20/2017,Reliance Entertai…,Musical,1013893,113031
258,Last Flag Flying,11/3/2017,Amazon Studios,Comedy,965481,107634
259,Lucky,9/29/2017,Magnolia Pictures,Drama,955925,106569
260,Landline,7/21/2017,Amazon Studios,Comedy,940854,104888
261,Tubelight,6/23/2017,Yash Raj Films,Adventure,930058,103685
262,The Red Turtle,1/20/2017,Sony Pictures Cla…,Adventure,920057,102570
263,Frantz,3/15/2017,Music Box Films,Drama,880883,98203
264,Journey to the West: The De…,2/3/2017,Sony Pictures,Action,880346,98143
265,The Polar Express,11/10/2004,Warner Bros.,Adventure,876864,97755
266,Jagga Jasoos,7/14/2017,UTV Communications,Adventure,861740,96069
267,Patti Cake$,8/18/2017,Fox Searchlight,Comedy,800148,89203
268,Neruda,12/16/2016,The Orchard,Drama,798648,89035
269,Mark Felt: The Man Who Brou…,9/29/2017,Sony Pictures Cla…,Thriller/Suspense,768646,85690
270,Mubarakan,7/28/2017,Sony Pictures,Romantic Comedy,758868,84601
271,May it Last: A Portrait of …,9/12/2017,Oscilloscope Pict…,Documentary,725286,80856
272,Toilet: Ek Prem Katha,8/11/2017,Reliance Entertai…,Comedy,709420,79088
273,The Exception,6/2/2017,A24,Drama,708972,79038
274,Maurice,1/1/1987,,Drama,702674,78336
275,Titanic,12/19/1997,Paramount Pictures,Thriller/Suspense,691642,77106
276,Lost in Paris,6/16/2017,Oscilloscope Pict…,Drama,691597,77101
277,The Devotion of Suspect X,3/31/2017,China Lion Film D…,Thriller/Suspense,686435,76525
278,Wilson,3/24/2017,Fox Searchlight,Comedy,653951,72904
279,Along With The Gods: The Tw…,12/22/2017,Well Go USA,Action,641875,71557
280,The Only Living Boy in New …,8/11/2017,Roadside Attractions,Drama,624332,69602
281,"Faces, Places",10/6/2017,Cohen Media Group,Documentary,604636,67406
282,The Midwife,7/21/2017,Music Box Films,Thriller/Suspense,603582,67288
283,Battle of Memories,4/28/2017,China Lion Film D…,Thriller/Suspense,587470,65492
284,Master,1/6/2017,CJ Entertainment,Action,584298,65139
285,Tommy’s Honour,4/14/2017,Roadside Attractions,Drama,569306,63467
286,Novitiate,10/27/2017,Sony Pictures Cla…,Drama,567050,63216
287,Bitter Harvest,2/24/2017,Roadside Attractions,Drama,557241,62122
288,Dolores,9/1/2017,PBS Distribution,Documentary,549671,61278
289,Human Flow,10/13/2017,Amazon Studios,Documentary,527845,58845
290,Phantom Thread,12/25/2017,Focus Features,Drama,527840,58845
291,Under the Sea 3D,2/13/2009,Warner Bros.,Documentary,525011,58530
292,Fairy Tail: Dragon Cry,8/14/2017,FUNimation,Action,519461,57910
293,Brigsby Bear,7/28/2017,Sony Pictures Cla…,Comedy,515765,57498
294,Raw,3/10/2017,Focus World,Horror,514870,57399
295,Shubh Mangal Saavdhan,9/1/2017,Eros Entertainment,Romantic Comedy,511875,57065
296,Born to be Wild 3D,4/8/2011,Warner Bros.,Documentary,504596,56253
297,Allied,11/23/2016,Paramount Pictures,Drama,499123,55643
298,Breathe,10/13/2017,Bleecker Street,Drama,489322,54550
299,Once Upon a Time,8/11/2017,Well Go USA,Drama,485728,54150
300,Nocturnal Animals,11/18/2016,Focus Features,Thriller/Suspense,478100,53299
301,Confidential Assignment,2/3/2017,CJ Entertainment,Action,475618,53023
302,Beach Rats,8/25/2017,Neon,Drama,471286,52540
303,Duckweed,2/10/2017,China Lion Film D…,Drama,469706,52364
304,Phillauri,3/24/2017,FIP,Black Comedy,467596,52129
305,Chasing the Dragon,9/29/2017,Well Go USA,Action,456854,50931
306,Song to Song,3/17/2017,Broad Green Pictures,Drama,443684,49463
307,Land of Mine,2/10/2017,Sony Pictures Cla…,Thriller/Suspense,434640,48454
308,"Gentleman: Sundar, Susheel,…",8/25/2017,FIP,Action,410055,45714
309,"Love, Kennedy",6/2/2017,Purdie Distribution,Drama,407871,45470
310,Chasing Trane: The John Col…,4/14/2017,Abramorama Films,Documentary,406284,45293
311,The Accountant,10/14/2016,Warner Bros.,Thriller/Suspense,403349,44966
312,The Rocky Horror Picture Show,9/26/1975,20th Century Fox,Musical,400000,44593
313,Rebel in the Rye,9/8/2017,IFC Films,Drama,378294,42173
314,Kung Fu Yoga,1/27/2017,Well Go USA,Action,362657,40429
315,Ok Jaanu,1/13/2017,FIP,Drama,355922,39679
316,Long Strange Trip: The Unto…,5/26/2017,Abramorama Films,Documentary,351957,39237
317,Pearl Jam: Let’s Play Two,9/29/2017,Abramorama Films,Concert/Perfor…,348832,38888
318,This Is Not What I Expected,5/5/2017,Well Go USA,Comedy,337670,37644
