rank,movie,release_date,distributor,genre,2016 Gross,Tickets Sold
481,Creative Control,3/11/2016,Magnolia Pictures,Drama,63014,7284
482,Dancer,9/9/2016,IFC Films,Documentary,62578,7234
483,The Dark Horse,4/1/2016,Broad Green Pictures,Drama,61505,7110
484,Secret in Their Eyes,11/20/2015,STX Entertainment,Thriller/Suspense,61121,7066
485,Daughters of the Dust (Re-I…,11/18/2016,Cohen Media Group,Drama,60897,7040
486,Too Late,3/18/2016,Vanishing Angle F…,Drama,60438,6987
487,Girl Asleep,9/23/2016,Oscilloscope Pict…,Drama,60289,6969
488,Presenting Princess Shaw,5/27/2016,Magnolia Pictures,Documentary,60197,6959
489,Time Renegades,4/15/2016,CJ Entertainment,Action,58689,6784
490,Command and Control,9/14/2016,PBS Distribution,Documentary,57635,6663
491,The Daughter,7/1/2016,Mongrel Media,Drama,57502,6647
492,The Fallen Idol,2/10/2006,Rialto Pictures,Thriller/Suspense,56822,6569
493,Wedding Doll,4/15/2016,Strand,Drama,56196,6496
494,DONGJU; The Portrait of A Poet,2/17/2016,Megabox Plus M,Drama,56184,6495
495,The Wait,4/29/2016,Oscilloscope Pict…,Drama,55804,6451
496,The Lovers And The Despot,9/23/2016,Magnolia Pictures,Documentary,55511,6417
497,Regression,2/5/2016,Weinstein Co.,Thriller/Suspense,55039,6362
498,Clown,6/17/2016,Dimension Pictures,Horror,55007,6359
499,Burnt,10/30/2015,Weinstein Co.,Comedy,54991,6357
500,My King,8/12/2016,Film Movement,Drama,54114,6255
501,In a Valley of Violence,10/21/2016,Focus World,Western,53647,6201
502,Diary of a Chambermaid,6/10/2016,Cohen Media Group,Drama,53581,6194
503,High Strung,4/8/2016,Paladin,Drama,53447,6178
504,Journey to the South Pacific,11/27/2013,MacGillivray Free…,Documentary,53171,6146
505,The Club,2/5/2016,Music Box Films,Drama,52761,6099
506,Being 17,10/7/2016,Strand,Drama,52713,6093
507,The Last Man on the Moon,2/26/2016,Gravitas Ventures,Documentary,52482,6067
508,Grandma,8/21/2015,Sony Pictures Cla…,Comedy,52304,6046
509,Cemetery of Splendor,3/4/2016,Strand,Drama,51950,6005
510,My Annoying Brother,12/9/2016,CJ Entertainment,Drama,51772,5985
511,Chi-raq,12/4/2015,Amazon Studios/Ro…,Drama,51701,5976
512,King Georges,2/26/2016,IFC Films,Documentary,51663,5972
513,Like for Likes,2/26/2016,CJ Entertainment,Romantic Comedy,50839,5877
514,In the Shadow of Women,1/15/2016,Distrib Films,Drama,50291,5813
515,The Take,11/18/2016,High Top Releasing,Action,50269,5811
516,In Order of Disappearance,8/26/2016,Magnolia Pictures,Action,50255,5809
517,Fatima,8/26/2016,Kino Lorber,Drama,50105,5792
518,Pele: Birth of a Legend,5/13/2016,IFC Films,Drama,49979,5777
519,Mifune: The Last Samurai,11/25/2016,Strand,Documentary,49438,5715
520,The Treasure,1/8/2016,IFC Films,Comedy,48508,5607
521,Ma Ma,5/20/2016,Oscilloscope Pict…,Drama,47258,5463
522,To the Arctic 3D,4/20/2012,Warner Bros.,Documentary,46545,5380
523,We are X,10/21/2016,Drafthouse Films,Documentary,45270,5233
524,Remember,10/16/2015,Entertainment One,Thriller/Suspense,45078,5211
525,Nuts!,6/22/2016,Life Sentence Fil…,Documentary,44230,5113
